"(-0.21, 0.02, -0.08, 0.42, -0.04)","(array([3.6615, 0.1572, 0.25  ]), array([0.    , 0.    , 0.0549, 0.9985]))"
"(0.23, 0.02, -0.08, 0.42, -0.04)","(array([3.5922, 0.3528, 0.25  ]), array([0.    , 0.    , 0.2715, 0.9624]))"
"(0.23, 0.02, -0.18, 0.42, -0.04)","(array([3.6227, 0.1727, 0.25  ]), array([0.    , 0.    , 0.2231, 0.9748]))"
"(0.23, 0.02, 0.19, 0.42, -0.04)","(array([3.4219, 0.8152, 0.25  ]), array([0.    , 0.    , 0.3987, 0.9171]))"
"(0.23, 0.02, 0.19, 0.42, -0.16)","(array([3.4977, 0.4459, 0.25  ]), array([0.    , 0.    , 0.3429, 0.9394]))"
"(0.2299, 0.02, 0.19, 0.42, 0.22)","(array([3.1107, 1.5675, 0.25  ]), array([0.    , 0.    , 0.514 , 0.8578]))"
"(-0.18, 0.02, 0.19, 0.42, 0.22)","(array([3.2602, 1.4455, 0.25  ]), array([0.    , 0.    , 0.3288, 0.9444]))"
"(-0.18, 0.02, 0.19, 0.42, 0.28)","(array([3.1684, 1.615 , 0.25  ]), array([0.    , 0.    , 0.3569, 0.9341]))"
"(-0.18, 0.0199, 0.1899, -0.3301, 0.2799)","(array([3.5517, 0.8385, 0.25  ]), array([ 0.    ,  0.    , -0.0101,  0.9999]))"
"(-0.18, 0.02, 0.19, -0.2, 0.28)","(array([3.5289, 0.9906, 0.25  ]), array([0.    , 0.    , 0.0549, 0.9985]))"
"(-0.18, 0.02, 0.0, -0.2, 0.28)","(array([3.6072, 0.644 , 0.25  ]), array([ 0.    ,  0.    , -0.04  ,  0.9992]))"
"(-0.18, 0.02, 0.04, -0.2, 0.28)","(array([3.5963, 0.718 , 0.25  ]), array([ 0.    ,  0.    , -0.02  ,  0.9998]))"
"(-0.18, 0.0203, 0.0402, -0.1998, -0.4797)","(array([ 3.2085, -1.6894,  0.25  ]), array([ 0.    ,  0.    , -0.3892,  0.9211]))"
"(-0.18, 0.02, 0.04, -0.2, -0.13)","(array([ 3.6164, -0.6209,  0.25  ]), array([ 0.    ,  0.    , -0.2232,  0.9748]))"
"(0.04, 0.02, 0.04, -0.2, -0.13)","(array([ 3.6502, -0.522 ,  0.25  ]), array([ 0.    ,  0.    , -0.1147,  0.9934]))"
"(0.04, 0.02, 0.04, -0.2, 0.18)","(array([3.6539, 0.4985, 0.25  ]), array([0.    , 0.    , 0.04  , 0.9992]))"
"(0.02, 0.02, 0.04, -0.2, 0.18)","(array([3.6547, 0.4888, 0.25  ]), array([0.    , 0.    , 0.03  , 0.9995]))"
"(0.02, -0.04, 0.04, -0.2, 0.18)","(array([3.6718, 0.3341, 0.25  ]), array([0., 0., 0., 1.]))"
"(0.02, -0.38, 0.04, -0.2, 0.18)","(array([ 3.5927, -0.5405,  0.25  ]), array([ 0.    ,  0.    , -0.1693,  0.9856]))"
"(0.02, -0.38, 0.08, -0.2, 0.18)","(array([ 3.6123, -0.4674,  0.25  ]), array([ 0.    ,  0.    , -0.1494,  0.9888]))"
"(0.33, -0.38, 0.08, -0.2, 0.18)","(array([ 3.632 , -0.3219,  0.25  ]), array([0.   , 0.   , 0.005, 1.   ]))"
"(0.3302, 0.4202, 0.0802, -0.1998, 0.1801)","(array([3.1809, 1.6423, 0.25  ]), array([0.    , 0.    , 0.3944, 0.9189]))"
"(0.33, 0.42, 0.08, -0.05, 0.18)","(array([3.0716, 1.7766, 0.25  ]), array([0.    , 0.    , 0.4618, 0.887 ]))"
"(0.33, 0.42, 0.49, -0.05, 0.18)","(array([2.4575, 2.2314, 0.25  ]), array([0.    , 0.    , 0.6327, 0.7744]))"
"(0.3301, -0.08, 0.49, -0.05, 0.18)","(array([3.2984, 1.316 , 0.25  ]), array([0.    , 0.    , 0.4215, 0.9068]))"
"(0.33, -0.08, 0.49, -0.05, -0.09)","(array([3.5441, 0.4912, 0.25  ]), array([0.    , 0.    , 0.2954, 0.9554]))"
"(0.33, -0.08, -0.0, -0.05, -0.09)","(array([ 3.6559, -0.4118,  0.25  ]), array([0.    , 0.    , 0.0549, 0.9985]))"
"(0.05, -0.08, -0.0, -0.05, -0.09)","(array([ 3.6533, -0.5443,  0.25  ]), array([ 0.    ,  0.    , -0.0849,  0.9964]))"
"(0.05, -0.08, 0.02, -0.05, -0.09)","(array([ 3.6602, -0.5069,  0.25  ]), array([ 0.    ,  0.    , -0.0749,  0.9972]))"
"(-0.46, -0.08, 0.02, -0.05, -0.09)","(array([ 3.5681, -0.7281,  0.25  ]), array([ 0.   ,  0.   , -0.324,  0.946]))"
"(-0.458, -0.0787, 0.022, -0.0477, -0.0994)","(array([ 3.5678, -0.7318,  0.25  ]), array([ 0.    ,  0.    , -0.3239,  0.9461]))"
"(-0.46, -0.08, 0.02, -0.05, -0.21)","(array([ 3.4581, -1.1036,  0.25  ]), array([ 0.    ,  0.    , -0.3801,  0.9249]))"
"(-0.46, 0.09, 0.02, -0.05, -0.21)","(array([ 3.5854, -0.6881,  0.25  ]), array([ 0.    ,  0.    , -0.3003,  0.9538]))"
"(-0.4608, 0.0892, 0.0194, -0.0421, -0.2109)","(array([ 3.5858, -0.6877,  0.25  ]), array([ 0.    ,  0.    , -0.2999,  0.954 ]))"
"(-0.4549, 0.0896, 0.0196, -0.0405, -0.2104)","(array([ 3.5895, -0.6781,  0.25  ]), array([ 0.    ,  0.    , -0.2947,  0.9556]))"
"(-0.45, 0.09, -0.08, -0.04, -0.21)","(array([ 3.539 , -0.8509,  0.25  ]), array([ 0.    ,  0.    , -0.3382,  0.9411]))"
"(-0.11, 0.09, -0.08, -0.04, -0.21)","(array([ 3.6173, -0.7107,  0.25  ]), array([ 0.    ,  0.    , -0.1741,  0.9847]))"
"(-0.11, 0.09, -0.08, -0.25, -0.21)","(array([ 3.5222, -0.9399,  0.25  ]), array([ 0.    ,  0.    , -0.2764,  0.9611]))"
"(-0.11, -0.04, -0.08, -0.25, -0.21)","(array([ 3.399 , -1.2495,  0.25  ]), array([ 0.    ,  0.    , -0.3381,  0.9411]))"
"(-0.11, -0.04, 0.05, -0.25, -0.21)","(array([ 3.5052, -1.0307,  0.25  ]), array([ 0.    ,  0.    , -0.2764,  0.961 ]))"
"(-0.11, -0.04, 0.05, -0.21, -0.21)","(array([ 3.527 , -0.9886,  0.25  ]), array([ 0.    ,  0.    , -0.2571,  0.9664]))"
"(-0.1099, -0.0398, 0.0502, -0.2099, 0.3901)","(array([3.5365, 0.9581, 0.25  ]), array([0.    , 0.    , 0.0402, 0.9992]))"
"(-0.11, -0.04, 0.26, -0.21, 0.39)","(array([3.4042, 1.3279, 0.25  ]), array([0.    , 0.    , 0.1445, 0.9895]))"
"(-0.11, -0.5, 0.26, -0.21, 0.39)","(array([3.6285, 0.1699, 0.25  ]), array([ 0.    ,  0.    , -0.0849,  0.9964]))"
"(-0.11, -0.5, 0.22, -0.21, 0.39)","(array([3.6262, 0.095 , 0.25  ]), array([ 0.    ,  0.    , -0.1048,  0.9945]))"
"(-0.1099, 0.3502, 0.2202, -0.2098, 0.3902)","(array([2.8785, 2.0957, 0.25  ]), array([0.    , 0.    , 0.3149, 0.9491]))"
"(-0.11, 0.35, 0.22, 0.27, 0.39)","(array([2.4246, 2.4257, 0.25  ]), array([0.    , 0.    , 0.5311, 0.8473]))"
"(-0.1099, 0.3501, -0.3699, 0.2701, 0.3901)","(array([3.2124, 1.6664, 0.25  ]), array([0.    , 0.    , 0.2621, 0.965 ]))"
